year_month,pm25,pm10,o3,no2,so2,co
2014-01-01,139.70967741935485,66.38709677419355,27.516129032258064,27.61290322580645,13.67741935483871,7.354838709677419
2014-02-01,117.28571428571428,46.285714285714285,30.857142857142858,19.035714285714285,7.785714285714286,5.857142857142857
2014-03-01,126.80645161290325,62.25806451612903,40.25806451612903,27.225806451612904,8.741935483870968,5.548387096774194
2014-04-01,125.1,56.36666666666667,46.16666666666666,24.6,5.8,5.033333333333333
2014-05-01,135.5806451612903,71.45161290322581,63.483870967741936,21.967741935483872,6.129032258064516,5.612903225806452
2014-06-01,109.7,47.93333333333333,49.53333333333333,19.266666666666666,3.1,5.766666666666667
2014-07-01,92.64516129032258,46.58064516129032,45.74193548387097,15.935483870967742,3.096774193548387,5.935483870967742
2014-08-01,85.03225806451613,41.96774193548387,46.12903225806452,17.516129032258064,3.645161290322581,6.419354838709677
2014-09-01,81.93333333333334,41.2,47.93333333333333,15.266666666666667,4.6,5.933333333333334
2014-10-01,101.41935483870968,54.483870967741936,47.064516129032256,21.83870967741936,5.32258064516129,6.32258064516129
2014-11-01,123.93333333333334,57.9,32.666666666666664,26.73333333333333,8.033333333333333,6.066666666666666
2014-12-01,143.1851851851852,71.25925925925925,17.40740740740741,34.44444444444444,17.666666666666668,8.407407407407407
2015-01-01,150.29032258064515,70.2258064516129,22.83870967741936,33.61290322580645,14.161290322580646,8.903225806451612
2015-02-01,134.85714285714286,61.42857142857143,32.785714285714285,23.357142857142858,9.857142857142858,7.642857142857143
2015-03-01,120.3225806451613,54.354838709677416,41.58064516129032,22.677419354838708,7.290322580645161,7.32258064516129
2015-04-01,127.76666666666668,64.1,53.73333333333333,25.7,7.366666666666666,6.2
2015-05-01,109.96774193548389,53.193548387096776,51.74193548387097,19.451612903225808,5.806451612903226,5.548387096774194
2015-06-01,100.36666666666666,48.5,55.7,19.9,4.633333333333334,5.866666666666666
2015-07-01,96.4516129032258,46.0,60.29032258064516,14.903225806451612,4.67741935483871,5.193548387096774
2015-08-01,96.0,44.70967741935484,59.45161290322581,11.741935483870968,4.645161290322581,6.32258064516129
2015-09-01,82.8,39.86666666666667,54.266666666666666,11.066666666666666,5.5,6.0
2015-10-01,108.61290322580643,54.41935483870968,52.096774193548384,21.483870967741936,7.451612903225806,6.516129032258065
2015-11-01,126.53333333333332,56.23333333333333,26.766666666666666,25.73333333333333,7.733333333333333,9.0
2015-12-01,152.5,69.76666666666667,19.3,28.33333333333333,11.6,9.866666666666667
2016-01-01,145.42592592592592,66.86296296296297,27.903703703703705,27.222222222222218,10.4,8.225925925925926
2016-02-01,138.35185185185185,63.95925925925926,36.50740740740741,26.11111111111111,9.2,6.5851851851851855
2016-03-01,131.27777777777777,61.05555555555556,45.11111111111112,25.0,8.0,4.944444444444445
2016-04-01,128.16666666666666,60.5,54.43333333333333,25.0,6.466666666666667,5.633333333333334
2016-05-01,120.16129032258064,58.903225806451616,55.87096774193548,19.677419354838708,5.32258064516129,5.935483870967742
2016-06-01,98.3,45.56666666666667,50.6,18.33333333333333,4.666666666666667,5.4
2016-07-01,95.64516129032258,48.38709677419355,64.87096774193549,15.96774193548387,3.4516129032258065,5.67741935483871
2016-08-01,66.38709677419355,31.451612903225808,45.67741935483871,10.741935483870968,4.129032258064516,5.290322580645161
2016-09-01,84.06666666666666,39.23333333333333,46.06666666666667,16.966666666666665,4.733333333333333,5.6
2016-10-01,67.06451612903226,32.32258064516129,35.516129032258064,15.258064516129032,5.032258064516129,4.32258064516129
2016-11-01,117.43333333333334,47.86666666666667,28.433333333333334,29.33333333333333,7.933333333333334,6.833333333333333
2016-12-01,130.80645161290323,55.193548387096776,25.096774193548388,31.61290322580645,8.096774193548388,8.548387096774194
2017-01-01,121.19354838709675,46.516129032258064,29.61290322580645,21.225806451612904,6.870967741935484,7.096774193548387
2017-02-01,125.67857142857144,51.035714285714285,37.285714285714285,23.821428571428573,6.5,6.428571428571429
2017-03-01,125.61290322580643,49.064516129032256,43.80645161290322,24.258064516129032,6.290322580645161,5.612903225806452
2017-04-01,123.9,57.6,57.03333333333333,25.666666666666668,5.333333333333333,6.1
2017-05-01,92.7741935483871,51.70967741935484,60.774193548387096,18.258064516129032,4.225806451612903,5.129032258064516
2017-06-01,85.86666666666666,40.86666666666667,55.266666666666666,16.766666666666666,2.833333333333333,5.166666666666667
2017-07-01,85.93333333333334,46.5,81.9,15.4,3.466666666666667,5.233333333333333
2017-08-01,79.0,40.58064516129032,68.48387096774194,13.516129032258064,3.193548387096774,5.967741935483871
2017-09-01,71.76,36.56,49.64,16.28,3.84,5.96
2017-10-01,77.29032258064517,36.2258064516129,41.096774193548384,14.67741935483871,3.838709677419355,5.516129032258065
2017-11-01,104.83333333333331,51.766666666666666,31.166666666666668,26.466666666666665,5.433333333333334,6.266666666666667
2017-12-01,154.5483870967742,59.483870967741936,24.967741935483872,30.83870967741936,5.935483870967742,8.096774193548388
2018-01-01,133.03225806451613,51.67741935483871,25.32258064516129,25.93548387096774,5.806451612903226,7.967741935483871
2018-02-01,116.53571428571428,48.67857142857143,36.71428571428572,20.0,5.0,5.892857142857143
2018-03-01,113.58064516129032,45.67741935483871,43.483870967741936,21.258064516129032,4.129032258064516,4.806451612903226
2018-04-01,135.6,60.7,57.96666666666667,22.766666666666666,5.066666666666666,5.066666666666666
2018-05-01,115.61290322580643,51.096774193548384,60.87096774193548,18.161290322580644,3.548387096774193,4.870967741935484
2018-06-01,100.6,38.53333333333333,63.3,14.8,3.933333333333333,4.066666666666666
